show_id	type	title	director	country	date_added	release_year	rating	duration	listed_in	language	imdb_score	popularity	description
s00001	Movie	Golden Dream 1	J. Lee	India	April 13, 2018	2018	G	110 min	Comedy	Korean	7.2	41	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00002	Movie	Silent City 2	M. Garcia	Germany	June 14, 2020	2002	PG-13	139 min	Documentary	Japanese	7.9	91	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00003	Movie	Hidden Empire 3	J. Lee	Canada	October 16, 2019	2017	PG	129 min	Comedy	English	7	62	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00004	TV Show	Broken Journey 4	R. Kumar	Spain	October 08, 2024	2003	TV-MA	1 Seasons	Horror	French	8	95	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00005	TV Show	Shadow River 5	M. Garcia	Japan	June 22, 2024	2001	TV-MA	2 Seasons	Documentary	English	7	69	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00006	TV Show	Golden River 6	L. Brown	India	October 29, 2019	2006	R	6 Seasons	Action	Korean	8.4	50	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00007	TV Show	Broken Empire 7	A. Smith	Canada	April 04, 2022	2003	TV-MA	4 Seasons	Romance	Japanese	6.6	53	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00008	TV Show	Last River 8	E. Martin	United Kingdom	May 20, 2020	2015	PG	8 Seasons	Action	Hindi	8.5	74	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00009	TV Show	Hidden Dream 9	J. Lee	Germany	July 22, 2024	2008	PG-13	7 Seasons	Comedy	English	8.9	49	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00010	Movie	Last Journey 10	E. Martin	Germany	September 26, 2022	2014	PG	83 min	Drama	French	8.4	83	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00011	TV Show	Last Dream 11	E. Martin	United States	October 25, 2021	1998	G	5 Seasons	Horror	Korean	8.5	72	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00012	Movie	Silent Code 12	M. Garcia	United Kingdom	May 07, 2021	2021	PG	156 min	Action	Korean	9.3	99	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00013	Movie	Shadow City 13	S. Patel	Japan	September 19, 2024	2005	TV-14	137 min	Drama	Hindi	9	100	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00014	Movie	Shadow Code 14	J. Lee	United Kingdom	December 17, 2018	2018	G	137 min	Sci-Fi	Korean	6.2	73	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00015	TV Show	Broken Empire 15	K. Tanaka	South Korea	May 17, 2020	2024	PG-13	4 Seasons	Sci-Fi	English	6.5	44	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00016	TV Show	Silent Dream 16	A. Smith	India	March 28, 2018	2013	G	4 Seasons	Drama	Hindi	5.8	42	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00017	TV Show	Hidden River 17	E. Martin	Canada	October 18, 2018	2011	R	4 Seasons	Action	French	9.2	76	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00018	TV Show	Last Dream 18	R. Kumar	India	September 22, 2020	2020	G	8 Seasons	Thriller	Spanish	7.2	69	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
